Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
1,0.0,61.5,0.0,21276.0,109.122,8831884,82.04985690116882,merged_training_metrics.csv
2,0.0,61.0,0.0,21276.0,130.777,8953040,25.435177087783813,merged_training_metrics.csv
3,0.0,61.1,0.0,21276.0,115.049,9078131,25.5022201538086,merged_training_metrics.csv
4,0.0,61.3,0.0,21276.0,131.052,9200736,25.310583114624023,merged_training_metrics.csv
5,0.0,61.4,0.0,21276.0,130.768,9322094,25.412192344665527,merged_training_metrics.csv
6,0.2,61.4,0.0,21276.0,131.438,9443450,25.320773601531982,merged_training_metrics.csv
7,0.0,61.4,0.0,21276.0,116.086,9566784,25.364636421203613,merged_training_metrics.csv
8,0.0,61.5,0.0,21276.0,131.99599999999998,9688479,25.37991690635681,merged_training_metrics.csv
9,0.0,61.6,0.0,21276.0,132.959,9837294,25.59253716468811,merged_training_metrics.csv
10,0.0,61.7,0.0,21276.0,132.086,9961490,25.444674253463745,merged_training_metrics.csv
1,0.0,66.1,0.0,21278.0,109.738,10139551,81.99463367462158,merged_training_metrics.csv
2,0.0,66.0,0.0,21278.0,129.584,10261777,25.25814199447632,merged_training_metrics.csv
3,0.0,66.1,0.0,21278.0,115.174,10388089,25.309566974639893,merged_training_metrics.csv
4,0.0,66.2,0.0,21278.0,131.065,10510528,25.19222354888916,merged_training_metrics.csv
5,0.0,66.4,0.0,21278.0,131.677,10632506,25.102850914001465,merged_training_metrics.csv
6,0.2,66.5,0.0,21278.0,131.75799999999998,10754615,25.55833220481873,merged_training_metrics.csv
7,0.0,66.6,0.0,21278.0,116.373,10877990,25.536166429519653,merged_training_metrics.csv
8,0.0,66.7,0.0,21278.0,131.833,10999564,25.22698283195496,merged_training_metrics.csv
9,0.0,66.8,0.0,21278.0,132.455,11125322,25.38622808456421,merged_training_metrics.csv
10,0.0,66.1,0.0,21278.0,114.551,11246562,25.70852756500244,merged_training_metrics.csv
11,0.0,66.6,0.0,21278.0,132.054,11371376,26.000959634780884,merged_training_metrics.csv
12,0.0,66.7,0.0,21278.0,132.577,11494176,25.23530864715576,merged_training_metrics.csv
13,0.0,66.7,0.0,21278.0,132.781,11616604,25.294435024261475,merged_training_metrics.csv
14,0.2,66.8,0.0,21278.0,132.808,11737990,24.97328782081604,merged_training_metrics.csv
15,0.0,67.0,0.0,21278.0,132.346,11864564,25.252225160598755,merged_training_metrics.csv
16,0.0,67.0,0.0,21278.0,132.501,11990648,25.08130168914795,merged_training_metrics.csv
17,0.0,67.2,0.0,21278.0,132.91899999999998,12110980,25.061107873916622,merged_training_metrics.csv
18,0.0,67.2,0.0,21278.0,132.281,12232314,25.73898911476136,merged_training_metrics.csv
19,0.2,67.4,0.0,21278.0,133.487,12354791,25.09278583526612,merged_training_metrics.csv
20,0.0,67.5,0.0,21278.0,133.074,12486376,25.20807981491089,merged_training_metrics.csv
1,0.0,71.4,0.0,21282.0,110.036,12656138,81.26875710487366,merged_training_metrics.csv
2,0.0,71.3,0.0,21282.0,130.00400000000002,12783307,25.22899627685547,merged_training_metrics.csv
3,0.0,71.5,0.0,21282.0,131.499,12905621,25.16715407371521,merged_training_metrics.csv
4,0.0,71.6,0.0,21282.0,115.785,13029839,25.31260895729065,merged_training_metrics.csv
5,0.0,71.6,0.0,21282.0,131.516,13167726,25.35879492759705,merged_training_metrics.csv
6,0.2,71.7,0.0,21282.0,116.133,13290866,25.566845417022705,merged_training_metrics.csv
7,0.0,71.8,0.0,21282.0,132.566,13415281,25.70702075958252,merged_training_metrics.csv
8,0.0,71.9,0.0,21282.0,111.089,13539698,27.19821310043335,merged_training_metrics.csv
9,0.0,71.3,0.0,21282.0,132.054,13661906,25.700788021087646,merged_training_metrics.csv
10,0.0,71.5,0.0,21282.0,116.712,13785608,25.585177183151245,merged_training_metrics.csv
11,0.0,71.6,0.0,21282.0,132.266,13908024,25.518168687820435,merged_training_metrics.csv
12,0.0,71.7,0.0,21282.0,119.208,14034070,25.572980403900143,merged_training_metrics.csv
13,0.0,71.8,0.0,21282.0,132.167,14156798,25.19734692573548,merged_training_metrics.csv
14,0.0,72.0,0.0,21282.0,118.949,14278854,25.70390248298645,merged_training_metrics.csv
15,0.0,72.0,0.0,21282.0,132.654,14400588,26.000247716903687,merged_training_metrics.csv
16,0.0,72.2,0.0,21282.0,132.632,14526540,25.68069314956665,merged_training_metrics.csv
17,0.0,72.3,0.0,21282.0,116.349,14648732,25.894232988357544,merged_training_metrics.csv
18,0.2,72.4,0.0,21282.0,133.138,14770364,25.408239364624023,merged_training_metrics.csv
19,0.0,72.5,0.0,21282.0,117.43699999999998,14892146,25.5884370803833,merged_training_metrics.csv
20,0.0,72.5,0.0,21282.0,132.166,15014971,25.58761954307556,merged_training_metrics.csv
21,0.0,71.7,0.0,21282.0,116.743,15145760,25.3960509300232,merged_training_metrics.csv
22,0.0,71.8,0.0,21282.0,132.926,15267094,25.547999620437626,merged_training_metrics.csv
23,0.0,71.9,0.0,21282.0,129.12099999999998,15401141,25.216381311416622,merged_training_metrics.csv
24,0.0,72.0,0.0,21282.0,132.808,15523268,25.82711410522461,merged_training_metrics.csv
25,0.0,72.1,0.0,21282.0,116.89,15648416,25.75189757347107,merged_training_metrics.csv
26,0.0,72.2,0.0,21282.0,132.73000000000002,15786685,25.683151483535767,merged_training_metrics.csv
27,0.0,72.3,0.0,21282.0,117.592,15912393,25.43331718444824,merged_training_metrics.csv
28,0.2,72.4,0.0,21282.0,132.183,16035212,25.676581382751465,merged_training_metrics.csv
29,0.0,72.6,0.0,21282.0,117.12,16157718,25.730467796325684,merged_training_metrics.csv
30,0.0,72.6,0.0,21282.0,131.606,16279893,25.94455051422119,merged_training_metrics.csv
1,0.0,39.8,0.0,21268.0,107.684,949980,97.94872617721558,merged_training_metrics.csv
2,0.0,39.3,0.0,21268.0,123.744,1077176,25.22160387039185,merged_training_metrics.csv
3,0.0,39.5,0.0,21268.0,124.751,1200642,24.987050771713257,merged_training_metrics.csv
4,0.0,39.7,0.0,21268.0,125.511,1324909,25.12925815582276,merged_training_metrics.csv
5,0.2,39.8,0.0,21268.0,127.416,1458514,24.58747434616089,merged_training_metrics.csv
6,0.0,39.3,0.0,21268.0,114.793,1582832,24.84159207344055,merged_training_metrics.csv
7,0.2,39.5,0.0,21268.0,127.656,1725333,25.290903329849243,merged_training_metrics.csv
8,0.0,39.6,0.0,21268.0,127.998,1849408,24.7709903717041,merged_training_metrics.csv
9,0.0,39.7,0.0,21268.0,128.487,1972582,24.601905345916748,merged_training_metrics.csv
10,0.0,39.9,0.0,21268.0,128.707,2096469,25.229623556137085,merged_training_metrics.csv
1,0.0,50.1,0.0,21272.0,108.365,2258696,81.29969096183777,merged_training_metrics.csv
2,0.0,49.5,0.0,21272.0,128.366,2380241,25.03193306922913,merged_training_metrics.csv
3,0.2,49.6,0.0,21272.0,129.237,2501955,25.35554838180542,merged_training_metrics.csv
4,0.0,49.6,0.0,21272.0,129.466,2623802,24.883368968963623,merged_training_metrics.csv
5,0.0,49.7,0.0,21272.0,130.525,2744268,24.876945972442627,merged_training_metrics.csv
6,0.2,49.9,0.0,21272.0,129.778,2865808,24.834381103515625,merged_training_metrics.csv
7,0.2,50.0,0.0,21272.0,116.218,2987187,25.139355182647705,merged_training_metrics.csv
8,0.0,50.1,0.0,21272.0,132.799,3109634,25.054086446762085,merged_training_metrics.csv
9,0.0,50.2,0.0,21272.0,133.498,3230578,25.156121969223022,merged_training_metrics.csv
10,0.0,50.2,0.0,21272.0,132.997,3353796,25.33235478401184,merged_training_metrics.csv
11,0.0,50.3,0.0,21272.0,131.793,3481001,24.96924829483032,merged_training_metrics.csv
12,0.0,50.4,0.0,21272.0,132.101,3604948,25.36922168731689,merged_training_metrics.csv
13,0.2,50.0,0.0,21272.0,115.946,3726880,25.41240620613098,merged_training_metrics.csv
14,0.0,50.1,0.0,21272.0,131.951,3849232,25.54332518577576,merged_training_metrics.csv
15,0.0,50.2,0.0,21272.0,131.807,3971272,24.96438217163086,merged_training_metrics.csv
16,0.0,50.3,0.0,21272.0,132.527,4099549,25.05442714691162,merged_training_metrics.csv
17,0.0,50.4,0.0,21272.0,132.971,4226042,25.3443443775177,merged_training_metrics.csv
18,0.0,50.5,0.0,21272.0,115.858,4358351,25.344090938568115,merged_training_metrics.csv
19,0.0,50.6,0.0,21272.0,132.125,4485773,25.071027994155884,merged_training_metrics.csv
20,0.0,50.7,0.0,21272.0,132.722,4607732,25.08765721321106,merged_training_metrics.csv
1,0.2,55.9,0.0,21272.0,115.751,4786402,82.92061591148376,merged_training_metrics.csv
2,0.0,55.4,0.0,21272.0,130.335,4908364,24.98114252090454,merged_training_metrics.csv
3,0.0,55.5,0.0,21272.0,131.361,5035509,24.86094975471497,merged_training_metrics.csv
4,0.2,55.6,0.0,21272.0,115.128,5165859,25.32384181022644,merged_training_metrics.csv
5,0.2,55.7,0.0,21272.0,131.987,5589830,25.084815740585327,merged_training_metrics.csv
6,0.0,55.8,0.0,21272.0,115.789,5711610,25.563090562820435,merged_training_metrics.csv
7,0.0,55.9,0.0,21272.0,132.461,5833596,25.19316029548645,merged_training_metrics.csv
8,0.2,55.9,0.0,21272.0,132.274,5955747,25.166823387146,merged_training_metrics.csv
9,0.2,56.0,0.0,21272.0,132.899,6077566,25.16801071166992,merged_training_metrics.csv
10,0.0,56.1,0.0,21272.0,131.981,6197640,24.96702289581299,merged_training_metrics.csv
11,0.0,56.3,0.0,21272.0,132.43900000000002,6323256,25.33376455307007,merged_training_metrics.csv
12,0.5,55.7,0.0,21272.0,132.029,6448088,25.043704986572266,merged_training_metrics.csv
13,0.0,55.8,0.0,21272.0,133.009,6569902,25.14401197433472,merged_training_metrics.csv
14,0.0,56.0,0.0,21272.0,132.852,6691394,25.141069889068604,merged_training_metrics.csv
15,0.5,56.1,0.0,21272.0,132.893,6811964,25.10324621200561,merged_training_metrics.csv
16,0.0,56.1,0.0,21272.0,133.026,6934714,25.14278674125672,merged_training_metrics.csv
17,0.0,56.3,0.0,21272.0,133.38299999999998,7056915,25.20358896255493,merged_training_metrics.csv
18,0.0,56.3,0.0,21272.0,133.196,7188522,25.367576599121094,merged_training_metrics.csv
19,0.0,56.4,0.0,21272.0,117.067,7320951,25.495988607406616,merged_training_metrics.csv
20,0.0,56.6,0.0,21272.0,133.085,7447465,25.73554491996765,merged_training_metrics.csv
21,0.0,56.7,0.0,21272.0,132.589,7576126,25.21545648574829,merged_training_metrics.csv
22,0.0,56.8,0.0,21272.0,132.642,7697587,25.064602613449097,merged_training_metrics.csv
23,0.0,56.8,0.0,21272.0,132.948,7820987,25.51700711250305,merged_training_metrics.csv
24,0.2,56.2,0.0,21272.0,132.981,7944907,25.03329944610596,merged_training_metrics.csv
25,0.2,56.2,0.0,21272.0,132.10399999999998,8065942,25.239659547805783,merged_training_metrics.csv
26,0.0,56.4,0.0,21272.0,132.837,8187780,25.122345685958862,merged_training_metrics.csv
27,0.2,56.5,0.0,21272.0,134.548,8308523,25.04703617095948,merged_training_metrics.csv
28,0.2,56.6,0.0,21272.0,118.545,8429951,25.383172512054443,merged_training_metrics.csv
29,0.0,56.7,0.0,21272.0,133.93,8551264,25.520353078842163,merged_training_metrics.csv
30,0.0,56.9,0.0,21272.0,133.19,8672412,24.739910125732425,merged_training_metrics.csv
1,0.0,76.8,0.0,21284.0,109.465,16443148,83.31534004211426,merged_training_metrics.csv
2,0.0,76.8,0.0,21284.0,130.673,16566764,25.789817094802856,merged_training_metrics.csv
3,0.0,76.9,0.0,21284.0,115.451,16691316,25.57486581802368,merged_training_metrics.csv
4,0.0,77.0,0.0,21284.0,130.051,16812504,25.77461290359497,merged_training_metrics.csv
5,0.0,77.1,0.0,21284.0,115.945,16932972,25.976427793502808,merged_training_metrics.csv
6,0.0,77.3,0.0,21284.0,131.124,17054302,25.68908929824829,merged_training_metrics.csv
