Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
1,0.0,59.4,0.0,21370.0,133.497,219755864,64.6993956565857,training_metrics_batch128_lr0.0005_epochs10.csv
2,0.2,59.4,0.0,21370.0,147.70600000000002,219776986,4.886315822601318,training_metrics_batch128_lr0.0005_epochs10.csv
3,0.0,59.3,0.0,21370.0,148.065,219795920,4.901766061782837,training_metrics_batch128_lr0.0005_epochs10.csv
4,1.6,59.5,0.0,21370.0,147.527,457227012,4.955903291702271,training_metrics_batch128_lr0.0005_epochs10.csv
5,4.3,59.9,0.0,21370.0,146.66,976274190,5.027359247207642,training_metrics_batch128_lr0.0005_epochs10.csv
6,0.0,59.8,0.0,21370.0,148.531,1363297350,5.035764932632446,training_metrics_batch128_lr0.0005_epochs10.csv
7,0.1,59.7,0.0,21370.0,147.86,1375715873,4.853393793106079,training_metrics_batch128_lr0.0005_epochs10.csv
8,2.1,60.1,0.0,21370.0,147.538,1698919921,5.042646408081055,training_metrics_batch128_lr0.0005_epochs10.csv
9,3.4,60.5,0.0,21370.0,147.385,2187845299,5.060234069824219,training_metrics_batch128_lr0.0005_epochs10.csv
10,0.8,61.0,0.0,21370.0,148.782,2660857833,5.038971900939941,training_metrics_batch128_lr0.0005_epochs10.csv
1,0.0,61.1,0.0,21374.0,132.508,3420446667,64.43743944168091,training_metrics_batch128_lr0.0005_epochs20.csv
2,0.0,61.2,0.0,21374.0,145.00400000000002,3420462625,4.92731237411499,training_metrics_batch128_lr0.0005_epochs20.csv
3,0.0,61.4,0.0,21374.0,146.429,3420478609,4.847698926925659,training_metrics_batch128_lr0.0005_epochs20.csv
4,0.0,61.4,0.0,21374.0,146.014,3420494455,4.959686040878296,training_metrics_batch128_lr0.0005_epochs20.csv
5,0.1,61.2,0.0,21374.0,146.06900000000002,3420510271,5.02734375,training_metrics_batch128_lr0.0005_epochs20.csv
6,0.0,61.3,0.0,21374.0,146.637,3420526453,4.987704992294312,training_metrics_batch128_lr0.0005_epochs20.csv
7,0.0,61.4,0.0,21374.0,145.703,3420542269,4.9011876583099365,training_metrics_batch128_lr0.0005_epochs20.csv
8,0.0,61.4,0.0,21374.0,146.622,3420558611,4.914826154708862,training_metrics_batch128_lr0.0005_epochs20.csv
9,0.0,61.4,0.0,21374.0,146.825,3420575519,4.88101601600647,training_metrics_batch128_lr0.0005_epochs20.csv
10,0.0,61.4,0.0,21374.0,147.222,3420601753,4.900448560714722,training_metrics_batch128_lr0.0005_epochs20.csv
11,0.1,61.4,0.0,21374.0,147.634,3420617701,4.923013687133789,training_metrics_batch128_lr0.0005_epochs20.csv
12,0.0,61.4,0.0,21374.0,146.744,3420633405,4.942764759063721,training_metrics_batch128_lr0.0005_epochs20.csv
13,0.0,60.4,0.0,21374.0,147.80599999999998,3420649729,4.886606216430664,training_metrics_batch128_lr0.0005_epochs20.csv
14,0.4,60.6,0.0,21374.0,148.45999999999998,3420665787,4.830193996429443,training_metrics_batch128_lr0.0005_epochs20.csv
15,0.1,60.8,0.0,21374.0,147.982,3420682845,4.853142738342285,training_metrics_batch128_lr0.0005_epochs20.csv
16,0.0,61.0,0.0,21374.0,146.652,3420700511,4.987046003341675,training_metrics_batch128_lr0.0005_epochs20.csv
17,0.0,61.2,0.0,21374.0,148.302,3420716851,4.882308483123779,training_metrics_batch128_lr0.0005_epochs20.csv
18,0.1,61.2,0.0,21374.0,147.697,3420740656,4.820013761520386,training_metrics_batch128_lr0.0005_epochs20.csv
19,0.0,61.2,0.0,21374.0,146.82299999999998,3420756884,4.8936989307403564,training_metrics_batch128_lr0.0005_epochs20.csv
20,0.0,61.3,0.0,21374.0,149.226,3420776778,4.861920118331909,training_metrics_batch128_lr0.0005_epochs20.csv
1,0.0,62.9,0.0,21376.0,131.941,3420824594,63.45292067527771,training_metrics_batch128_lr0.0005_epochs30.csv
2,0.0,63.0,0.0,21376.0,146.26999999999998,3420840800,4.810872316360474,training_metrics_batch128_lr0.0005_epochs30.csv
3,0.0,63.2,0.0,21376.0,146.27700000000002,3420856868,4.904633283615112,training_metrics_batch128_lr0.0005_epochs30.csv
4,0.0,62.4,0.0,21376.0,145.036,3420873528,4.876042604446411,training_metrics_batch128_lr0.0005_epochs30.csv
5,0.0,62.7,0.0,21376.0,147.071,3420889354,4.787908315658569,training_metrics_batch128_lr0.0005_epochs30.csv
6,0.0,62.8,0.0,21376.0,147.364,3420905224,4.841822862625122,training_metrics_batch128_lr0.0005_epochs30.csv
7,0.1,62.9,0.0,21376.0,145.822,3420921026,4.9566497802734375,training_metrics_batch128_lr0.0005_epochs30.csv
8,0.0,63.0,0.0,21376.0,148.01999999999998,3420937190,4.829377174377441,training_metrics_batch128_lr0.0005_epochs30.csv
9,0.1,63.1,0.0,21376.0,148.015,3420953036,4.756387710571289,training_metrics_batch128_lr0.0005_epochs30.csv
10,0.2,63.1,0.0,21376.0,148.34,3420968782,4.851362466812134,training_metrics_batch128_lr0.0005_epochs30.csv
11,0.0,63.2,0.0,21376.0,150.279,3420984760,4.852251529693604,training_metrics_batch128_lr0.0005_epochs30.csv
12,0.0,63.1,0.0,21376.0,148.441,3421000808,4.869083404541016,training_metrics_batch128_lr0.0005_epochs30.csv
13,0.0,63.1,0.0,21376.0,148.741,3421016564,4.822591543197632,training_metrics_batch128_lr0.0005_epochs30.csv
14,0.0,63.2,0.0,21376.0,147.921,3421032366,4.992771148681641,training_metrics_batch128_lr0.0005_epochs30.csv
15,0.0,63.2,0.0,21376.0,148.50400000000002,3421048268,4.848826169967651,training_metrics_batch128_lr0.0005_epochs30.csv
16,0.0,62.3,0.0,21376.0,147.314,3421064322,4.976877212524414,training_metrics_batch128_lr0.0005_epochs30.csv
17,0.0,62.7,0.0,21376.0,148.523,3421081053,4.93022346496582,training_metrics_batch128_lr0.0005_epochs30.csv
18,0.0,63.0,0.0,21376.0,148.497,3421097401,4.995765686035156,training_metrics_batch128_lr0.0005_epochs30.csv
19,0.0,63.2,0.0,21376.0,147.625,3421113471,4.87425971031189,training_metrics_batch128_lr0.0005_epochs30.csv
20,0.0,63.2,0.0,21376.0,147.573,3421129953,4.962169885635376,training_metrics_batch128_lr0.0005_epochs30.csv
21,0.0,63.2,0.0,21376.0,149.285,3421158295,4.915865898132324,training_metrics_batch128_lr0.0005_epochs30.csv
22,0.0,63.2,0.0,21376.0,149.042,3421177681,4.892991065979004,training_metrics_batch128_lr0.0005_epochs30.csv
23,0.0,63.2,0.0,21376.0,147.392,3421193561,4.938191175460815,training_metrics_batch128_lr0.0005_epochs30.csv
24,0.0,63.3,0.0,21376.0,149.452,3421209257,4.855686187744141,training_metrics_batch128_lr0.0005_epochs30.csv
25,0.0,63.4,0.0,21376.0,148.467,3421226164,4.839601993560791,training_metrics_batch128_lr0.0005_epochs30.csv
26,0.0,63.4,0.0,21376.0,149.856,3421242750,4.742082118988037,training_metrics_batch128_lr0.0005_epochs30.csv
27,0.0,63.6,0.0,21376.0,149.377,3421258596,4.864320755004883,training_metrics_batch128_lr0.0005_epochs30.csv
28,0.0,63.6,0.0,21376.0,149.833,3421275120,4.857680082321167,training_metrics_batch128_lr0.0005_epochs30.csv
29,0.0,62.2,0.0,21376.0,149.909,3421290664,4.842728137969971,training_metrics_batch128_lr0.0005_epochs30.csv
30,0.0,62.5,0.0,21376.0,149.392,3421306838,4.835604667663574,training_metrics_batch128_lr0.0005_epochs30.csv
1,0.1,53.7,0.0,21362.0,146.338,218594221,65.22292828559875,training_metrics_batch128_lr0.001_epochs10.csv
2,0.0,53.8,0.0,21362.0,147.249,218611153,4.875067710876465,training_metrics_batch128_lr0.001_epochs10.csv
3,0.1,53.2,0.0,21362.0,146.775,218626841,4.9379870891571045,training_metrics_batch128_lr0.001_epochs10.csv
4,0.1,53.4,0.0,21362.0,148.404,218642983,4.845248699188232,training_metrics_batch128_lr0.001_epochs10.csv
5,0.2,53.6,0.0,21362.0,148.57,218658637,4.832213163375855,training_metrics_batch128_lr0.001_epochs10.csv
6,0.0,53.7,0.0,21362.0,150.508,218674835,4.755484342575073,training_metrics_batch128_lr0.001_epochs10.csv
7,0.1,53.8,0.0,21362.0,148.666,218690893,4.878063678741455,training_metrics_batch128_lr0.001_epochs10.csv
8,0.4,53.8,0.0,21362.0,148.459,218707165,4.815326929092407,training_metrics_batch128_lr0.001_epochs10.csv
9,0.1,53.8,0.0,21362.0,147.574,218723067,4.769910097122192,training_metrics_batch128_lr0.001_epochs10.csv
10,0.1,53.9,0.0,21362.0,147.888,218739944,4.77204442024231,training_metrics_batch128_lr0.001_epochs10.csv
1,0.0,55.6,0.0,21364.0,134.475,218810861,63.92954516410828,training_metrics_batch128_lr0.001_epochs20.csv
2,0.4,55.7,0.0,21364.0,148.67,218826997,4.89364767074585,training_metrics_batch128_lr0.001_epochs20.csv
3,3.2,55.9,0.0,21364.0,147.832,218847352,4.849750757217407,training_metrics_batch128_lr0.001_epochs20.csv
4,2.1,55.1,0.0,21364.0,147.832,218866022,4.880487680435181,training_metrics_batch128_lr0.001_epochs20.csv
5,1.1,55.2,0.0,21364.0,146.993,218883328,4.851926565170288,training_metrics_batch128_lr0.001_epochs20.csv
6,0.6,55.2,0.0,21364.0,147.47,218900104,4.903608560562134,training_metrics_batch128_lr0.001_epochs20.csv
7,0.1,55.3,0.0,21364.0,147.757,218917176,4.928625345230103,training_metrics_batch128_lr0.001_epochs20.csv
8,3.5,55.3,0.0,21364.0,148.377,218933912,4.833705902099609,training_metrics_batch128_lr0.001_epochs20.csv
9,0.0,55.3,0.0,21364.0,148.327,218950142,4.876452922821045,training_metrics_batch128_lr0.001_epochs20.csv
10,0.0,55.4,0.0,21364.0,148.385,218966648,4.901850938796997,training_metrics_batch128_lr0.001_epochs20.csv
11,0.0,55.5,0.0,21364.0,148.514,218982404,4.880931377410889,training_metrics_batch128_lr0.001_epochs20.csv
12,2.0,55.4,0.0,21364.0,148.831,218998971,4.894329786300659,training_metrics_batch128_lr0.001_epochs20.csv
13,0.7,55.5,0.0,21364.0,149.06900000000002,219014711,4.830209732055664,training_metrics_batch128_lr0.001_epochs20.csv
14,0.7,55.6,0.0,21364.0,147.84799999999998,219035162,4.96196436882019,training_metrics_batch128_lr0.001_epochs20.csv
15,0.2,55.7,0.0,21364.0,147.519,219054644,4.947767734527588,training_metrics_batch128_lr0.001_epochs20.csv
16,0.1,55.7,0.0,21364.0,149.21699999999998,219070538,4.938060522079468,training_metrics_batch128_lr0.001_epochs20.csv
17,0.0,54.8,0.0,21364.0,147.635,219086948,4.934249401092529,training_metrics_batch128_lr0.001_epochs20.csv
18,0.0,55.0,0.0,21364.0,147.585,219103442,4.985064029693604,training_metrics_batch128_lr0.001_epochs20.csv
19,0.0,55.3,0.0,21364.0,149.288,219119382,4.8268914222717285,training_metrics_batch128_lr0.001_epochs20.csv
20,0.1,55.5,0.0,21364.0,147.663,219135680,4.942612171173096,training_metrics_batch128_lr0.001_epochs20.csv
1,0.0,57.1,0.0,21368.0,133.285,219212917,78.46886539459229,training_metrics_batch128_lr0.001_epochs30.csv
2,0.0,57.3,0.0,21368.0,145.849,219228787,4.840502738952637,training_metrics_batch128_lr0.001_epochs30.csv
3,0.0,57.4,0.0,21368.0,147.704,219244675,4.853953838348389,training_metrics_batch128_lr0.001_epochs30.csv
4,0.0,57.5,0.0,21368.0,147.289,219260765,4.86838960647583,training_metrics_batch128_lr0.001_epochs30.csv
5,0.0,57.5,0.0,21368.0,146.913,219276801,4.898888826370239,training_metrics_batch128_lr0.001_epochs30.csv
6,0.0,57.5,0.0,21368.0,147.152,219292643,4.875751256942749,training_metrics_batch128_lr0.001_epochs30.csv
7,0.1,56.6,0.0,21368.0,147.543,219308733,4.970273017883301,training_metrics_batch128_lr0.001_epochs30.csv
8,0.0,56.9,0.0,21368.0,148.821,219324429,4.828460454940796,training_metrics_batch128_lr0.001_epochs30.csv
9,0.0,57.0,0.0,21368.0,148.227,219340335,4.843636989593506,training_metrics_batch128_lr0.001_epochs30.csv
10,0.0,57.1,0.0,21368.0,148.944,219356361,4.868546962738037,training_metrics_batch128_lr0.001_epochs30.csv
11,0.0,57.1,0.0,21368.0,148.57999999999998,219372005,4.828873634338379,training_metrics_batch128_lr0.001_epochs30.csv
12,0.0,57.3,0.0,21368.0,149.491,219387807,4.922020196914673,training_metrics_batch128_lr0.001_epochs30.csv
13,0.0,57.4,0.0,21368.0,147.002,219403805,4.847811698913574,training_metrics_batch128_lr0.001_epochs30.csv
14,0.1,57.4,0.0,21368.0,149.727,219419895,4.877611398696899,training_metrics_batch128_lr0.001_epochs30.csv
15,0.1,57.6,0.0,21368.0,150.124,219436331,4.8403160572052,training_metrics_batch128_lr0.001_epochs30.csv
16,0.0,57.6,0.0,21368.0,149.33100000000002,219453123,4.789759159088135,training_metrics_batch128_lr0.001_epochs30.csv
17,0.0,57.7,0.0,21368.0,147.611,219471749,4.839727878570557,training_metrics_batch128_lr0.001_epochs30.csv
18,0.0,57.7,0.0,21368.0,148.184,219488085,4.772078037261963,training_metrics_batch128_lr0.001_epochs30.csv
19,0.2,57.8,0.0,21368.0,149.753,219505285,4.970038175582886,training_metrics_batch128_lr0.001_epochs30.csv
20,0.0,56.6,0.0,21368.0,148.643,219521845,4.8298516273498535,training_metrics_batch128_lr0.001_epochs30.csv
21,0.1,56.8,0.0,21368.0,148.71699999999998,219539667,4.865561723709106,training_metrics_batch128_lr0.001_epochs30.csv
22,0.0,57.1,0.0,21368.0,148.412,219555363,4.820690393447876,training_metrics_batch128_lr0.001_epochs30.csv
23,0.0,57.0,0.0,21368.0,149.292,219571423,4.875435829162598,training_metrics_batch128_lr0.001_epochs30.csv
24,0.1,57.2,0.0,21368.0,149.481,219587345,4.787219285964966,training_metrics_batch128_lr0.001_epochs30.csv
25,0.0,57.3,0.0,21368.0,150.32299999999998,219603261,4.768740177154541,training_metrics_batch128_lr0.001_epochs30.csv
26,0.0,57.4,0.0,21368.0,150.259,219619762,4.7422637939453125,training_metrics_batch128_lr0.001_epochs30.csv
27,0.1,57.4,0.0,21368.0,149.149,219636880,4.980447769165039,training_metrics_batch128_lr0.001_epochs30.csv
28,0.0,57.5,0.0,21368.0,149.231,219653252,4.771074295043945,training_metrics_batch128_lr0.001_epochs30.csv
29,0.0,57.6,0.0,21368.0,150.401,219669126,4.798900842666626,training_metrics_batch128_lr0.001_epochs30.csv
30,0.0,57.7,0.0,21368.0,149.849,219685020,4.796806812286377,training_metrics_batch128_lr0.001_epochs30.csv
1,0.0,64.5,0.0,21380.0,133.257,3421355175,64.91949439048767,training_metrics_batch128_lr0.01_epochs10.csv
2,0.0,64.7,0.0,21380.0,147.72,3421376507,4.852757930755615,training_metrics_batch128_lr0.01_epochs10.csv
3,0.0,64.9,0.0,21380.0,147.288,3421392693,4.82542085647583,training_metrics_batch128_lr0.01_epochs10.csv
4,0.0,64.9,0.0,21380.0,146.925,3421409237,4.89165997505188,training_metrics_batch128_lr0.01_epochs10.csv
5,0.0,64.8,0.0,21380.0,148.03,3421425421,4.895059585571289,training_metrics_batch128_lr0.01_epochs10.csv
6,0.0,64.8,0.0,21380.0,148.214,3421441883,4.780496597290039,training_metrics_batch128_lr0.01_epochs10.csv
7,0.0,64.8,0.0,21380.0,148.194,3421458444,4.854730129241943,training_metrics_batch128_lr0.01_epochs10.csv
8,0.1,64.9,0.0,21380.0,148.755,3421474452,4.78651762008667,training_metrics_batch128_lr0.01_epochs10.csv
9,0.0,65.0,0.0,21380.0,147.269,3421490406,4.695170640945435,training_metrics_batch128_lr0.01_epochs10.csv
10,0.0,64.1,0.0,21380.0,149.162,3421506416,4.776061296463013,training_metrics_batch128_lr0.01_epochs10.csv
1,0.0,66.5,0.0,21382.0,133.108,3421551153,64.47110104560852,training_metrics_batch128_lr0.01_epochs20.csv
2,0.0,66.5,0.0,21382.0,145.378,3421567279,4.828901290893555,training_metrics_batch128_lr0.01_epochs20.csv
3,0.0,66.7,0.0,21382.0,145.622,3421582811,4.758535623550415,training_metrics_batch128_lr0.01_epochs20.csv
4,0.0,66.7,0.0,21382.0,145.818,3421598821,4.835907220840454,training_metrics_batch128_lr0.01_epochs20.csv
5,0.0,66.7,0.0,21382.0,147.265,3421615099,4.813476324081421,training_metrics_batch128_lr0.01_epochs20.csv
6,0.0,66.7,0.0,21382.0,146.81,3421631085,4.969218015670776,training_metrics_batch128_lr0.01_epochs20.csv
7,0.0,66.7,0.0,21382.0,147.373,3421647007,4.874117136001587,training_metrics_batch128_lr0.01_epochs20.csv
8,0.0,66.7,0.0,21382.0,146.46,3421662871,4.857127666473389,training_metrics_batch128_lr0.01_epochs20.csv
9,0.0,66.7,0.0,21382.0,147.796,3421679194,4.8389623165130615,training_metrics_batch128_lr0.01_epochs20.csv
10,0.0,66.8,0.0,21382.0,147.02,3421695288,4.84486722946167,training_metrics_batch128_lr0.01_epochs20.csv
11,0.0,65.7,0.0,21382.0,147.119,3421710984,4.935941457748413,training_metrics_batch128_lr0.01_epochs20.csv
12,0.0,65.9,0.0,21382.0,148.296,3421727950,4.8272013664245605,training_metrics_batch128_lr0.01_epochs20.csv
13,0.0,65.9,0.0,21382.0,148.312,3421744447,4.835623025894165,training_metrics_batch128_lr0.01_epochs20.csv
14,0.0,66.2,0.0,21382.0,148.75,3421760849,4.809208393096924,training_metrics_batch128_lr0.01_epochs20.csv
15,0.0,66.5,0.0,21382.0,150.079,3421777495,4.808248043060303,training_metrics_batch128_lr0.01_epochs20.csv
16,0.0,66.5,0.0,21382.0,147.958,3421792977,4.743101119995117,training_metrics_batch128_lr0.01_epochs20.csv
17,0.0,66.5,0.0,21382.0,148.292,3421809467,4.830777168273926,training_metrics_batch128_lr0.01_epochs20.csv
18,0.1,66.6,0.0,21382.0,149.035,3421825265,4.790533065795898,training_metrics_batch128_lr0.01_epochs20.csv
19,0.0,66.6,0.0,21382.0,148.604,3421841187,4.872006893157959,training_metrics_batch128_lr0.01_epochs20.csv
20,0.0,66.7,0.0,21382.0,148.864,3421856841,4.850864887237549,training_metrics_batch128_lr0.01_epochs20.csv
1,0.0,68.0,0.0,21384.0,131.679,3421906926,62.92174434661865,training_metrics_batch128_lr0.01_epochs30.csv
2,0.0,68.4,0.0,21384.0,145.8,3421932860,4.856672763824463,training_metrics_batch128_lr0.01_epochs30.csv
3,0.0,68.3,0.0,21384.0,146.632,3421948670,4.877540111541748,training_metrics_batch128_lr0.01_epochs30.csv
4,0.1,68.3,0.0,21384.0,146.269,3421964618,4.880490303039551,training_metrics_batch128_lr0.01_epochs30.csv
5,0.1,68.3,0.0,21384.0,146.858,3421981008,4.847230434417725,training_metrics_batch128_lr0.01_epochs30.csv
6,0.0,68.3,0.0,21384.0,147.371,3421997740,4.798088073730469,training_metrics_batch128_lr0.01_epochs30.csv
7,0.1,68.4,0.0,21384.0,146.471,3422015220,4.902863502502441,training_metrics_batch128_lr0.01_epochs30.csv
8,0.0,68.4,0.0,21384.0,146.497,3422032766,4.878824472427368,training_metrics_batch128_lr0.01_epochs30.csv
9,0.0,68.4,0.0,21384.0,147.491,3422048742,4.82522439956665,training_metrics_batch128_lr0.01_epochs30.csv
10,0.0,68.4,0.0,21384.0,148.523,3422073317,4.905214786529541,training_metrics_batch128_lr0.01_epochs30.csv
11,0.0,68.5,0.0,21384.0,147.154,3422089251,4.817935228347778,training_metrics_batch128_lr0.01_epochs30.csv
12,0.0,68.5,0.0,21384.0,147.135,3422108517,4.830134391784668,training_metrics_batch128_lr0.01_epochs30.csv
13,0.0,68.5,0.0,21384.0,148.663,3422125955,4.83524227142334,training_metrics_batch128_lr0.01_epochs30.csv
14,0.0,67.4,0.0,21384.0,148.532,3422141835,4.8618483543396,training_metrics_batch128_lr0.01_epochs30.csv
